RA,Dec,Magnitude,Bayer,Full Bayer,English Name,Flamsteed
10.116666666666665,-16.516944444444444,6.49,-,-,-,-
10.133333333333333,-23.804444444444446,6.14,-,-,-,-
10.175,-4.351944444444444,5.91,-,-,-,-
10.279166666666667,39.45861111111111,5.33,-,-,-,32-And
10.108333333333333,-59.45444444444445,5.89,-,-,-,-
10.5125,66.14750000000001,5.83,-,-,-,-
10.4,24.629166666666666,6.04,-,-,-,-
10.5125,50.5125,4.8,ξ,ξ-Cas,-,19-Cas
10.329166666666667,-46.085,4.59,μ,μ-Phe,-,-
10.629166666666666,58.75333333333333,6.17,-,-,-,-
10.441666666666666,-56.501666666666665,5.7,ξ,ξ-Phe,-,-
10.866666666666667,47.02472222222222,4.94,π,π-Cas,-,20-Cas
10.675,-38.46333333333334,6.06,λ¹,λ¹-Scl,-,-
10.670833333333333,-60.2625,5.98,-,-,-,-
10.616666666666665,-65.46805555555555,5.39,ρ,ρ-Tuc,-,-
10.895833333333332,-17.986666666666668,2.04,β,β-Cet,Deneb_Kaitos,16-Cet
11.108333333333333,47.86416666666667,5.67,-,-,-,-
10.958333333333332,-12.011666666666667,6.02,-,-,-,-
10.8375,-57.463055555555556,4.36,η,η-Phe,-,-
11.4125,74.98805555555556,5.66,-,-,-,21-Cas
11.179166666666665,48.28444444444444,4.54,ο,ο-Cas,-,22-Cas
11.045833333333334,-10.609444444444444,4.76,φ¹,φ¹-Cet,-,17-Cet
11.049999999999999,-38.42166666666667,5.9,λ²,λ²-Scl,-,-
11.320833333333333,55.22166666666667,5.42,-,-,-,-
11.183333333333332,-22.00611111111111,5.24,-,-,-,-
11.237499999999999,-42.67666666666666,5.94,-,-,-,-
11.133333333333333,-62.49777777777778,6.07,-,-,-,-
11.662500000000001,69.325,6.33,-,-,-,-
11.350000000000001,-4.629166666666667,6.15,-,-,-,-
11.25,-53.715,6.15,-,-,-,-
11.366666666666667,-12.880833333333333,6.15,-,-,-,18-Cet
11.562500000000002,55.305277777777775,6.52,-,-,-,-
11.541666666666666,44.86138888888889,6.05,-,-,-,-
11.420833333333334,-16.424166666666668,6.47,-,-,-,-
11.675,59.574444444444445,6.39,-,-,-,-
11.941666666666666,74.8475,5.41,-,-,-,23-Cas
11.4375,-47.55166666666666,5.8,-,-,-,-
11.545833333333336,-22.521944444444443,5.5,-,-,-,-
11.637500000000001,15.475555555555555,5.38,-,-,-,57-Psc
12.037500000000001,72.67500000000001,5.87,-,-,-,-
11.754166666666666,11.973888888888888,5.5,-,-,-,58-Psc
11.804166666666667,19.578888888888887,6.13,-,-,-,59-Psc
11.833333333333332,24.26722222222222,4.06,ζ,ζ-And,-,34-And
11.845833333333333,6.740833333333334,5.99,-,-,-,60-Psc
11.975000000000001,20.92527777777778,6.54,-,-,-,61-Psc
11.929166666666667,-18.06138888888889,5.7,-,-,-,-
12.275,57.81583333333333,3.44,η,η-Cas,-,24-Cas
12.004166666666668,-21.722499999999997,5.57,-,-,-,-
